"aktivitas_neve","modszercsalad","tantargy","evfolyam","kompetenciak","konkret_playbook","tanari_facilitacio","tanuloi_dontesi_pont","lathato_evidence","ertekelesi_rubrika","low_resource_valtozat","evidence_szint","forrasok","lecke_ai_tamogatasi_lehetoseg","pilotkockazat"
"Oltasi stratégia adat- és ertekdilemmaval","Socioscientific inquiry","Biológia; matematika; állampolgári nevelés","9-12","kritikai gondolkodás; állampolgárság; feszültségek összehangolása; felelősségvállalás","Csoportok egyszerű járványterjedési és erőforrásadatok alapján oltási prioritási tervet készítenek, majd etikai szerepkártyákkal felülvizsgálják.","Adat és érték különbségét explicit módon tanítja; több kritériumos döntési mátrixot ad.","Mely csoportot priorizálják és milyen értékkonfliktust vállalnak fel.","Döntési mátrix, adathivatkozás, etikai indoklás, revideált terv.","4 szint: adatértelmezés, értékkonfliktus-azonosítás, indoklás, revízió.","Fiktív, leegyszerűsített adatkészlet és szerepkártyák.","B","2026-05-21 forráscsomag: SSI review; OECD Learning Compass; collaborative problem solving","Adatcsomagot, szerepkártyákat és többkritériumos rubrikát készít.","Politikailag vagy személyesen érzékeny lehet; fiktív kontextus javasolt."
"Helyi hősziget térképezése","Geo-Inquiry; spatial inquiry","Földrajz; fizika","8-12","kritikai gondolkodás; kreativitás; állampolgárság; felelősségvállalás","A tanulók térképen jelölik az iskola vagy környék hőterhelési pontjait, árnyékot, burkolatot, zöldfelületet kódolnak, majd beavatkozási térképet készítenek.","Térképezési kategóriákat ad; segít elkülöníteni megfigyelést, becslést és javaslatot; döntési vitát vezet.","Mely helyszín kapjon első beavatkozást és milyen kritérium alapján.","Térképvázlat, kategorizált megfigyelések, beavatkozási javaslat, indoklás.","4 szint: térbeli adat, kategóriakövetkezetesség, döntési kritérium, javaslat.","Nyomtatott térkép vagy kézzel rajzolt alaprajz, hőmérő nélkül becslési kategóriákkal.","C","2026-05-21 forráscsomag: Geo-Inquiry; OECD Learning Compass; PBLWorks","Térképsablont, adatgyűjtő lapot és döntési rubrikát készít.","Pontatlan mérés; a pilotban a következetes kategorizálás fontosabb, mint a precíz műszer."
"Vízgyűjtő döntési szimuláció","Place-based inquiry; structured controversy","Földrajz; biológia","7-10","kritikai gondolkodás; állampolgárság; feszültségek összehangolása","Csoportok vízgyűjtő-szerepeket kapnak: gazda, város, természetvédelem, ipar. Közös szabályozási javaslatot kell alkotniuk vízminőségi adatok alapján.","Szerepekhez adat- és érdekprofilokat ad; moderálja, hogy az alku bizonyítékhoz kötött maradjon.","Mely kompromisszumot fogadják el és milyen bizonyíték miatt.","Szerepálláspont, közös szabályjavaslat, bizonyítéktábla, kisebbségi vélemény.","4 szint: forráshasználat, kompromisszum, érvelés, közös döntés.","Fiktív vízgyűjtő-térkép és 8 adatkártya.","B","2026-05-21 forráscsomag: OECD Learning Compass; collaborative problem solving; Geo-Inquiry","Szerepkártyákat, konfliktustérképet és döntési protokollt készít.","A szerepjáték elviheti dramatizálásba; bizonyítékkötelezettség kell."
"Klímaadaptációs költségvetési tanács","Kollaboratív problémamegoldás; structured academic controversy","Földrajz; állampolgári nevelés","9-12","kritikai gondolkodás; kommunikáció; állampolgárság; felelősségvállalás","Diákcsoportok korlátozott költségvetésből választanak klímaadaptációs beavatkozásokat, majd igazságosság, hatás és megvalósíthatóság szerint védik a döntést.","Költség- és hatáskártyákat ad; az érveket kritériumokra kéri visszavezetni; a vitában szerepcserét alkalmaz.","Mely beavatkozást hagyják ki, és hogyan indokolják a vesztes kompromisszumot.","Költségvetési tábla, döntési indoklás, ellenérv-válasz, revideált portfólió.","4 szint: kritériumhasználat, kompromisszumtudat, bizonyíték, kommunikáció.","10 beavatkozáskártya papíron, számított költségpontokkal.","B","2026-05-21 forráscsomag: OECD Learning Compass; collaborative problem solving; SSI review","Beavatkozáskártyákat, költségkeretet és vitaprotokollt készít.","Politikai vita lehet belőle; helyi pártpolitika helyett fiktív város ajánlott."
"Földrengésveszély: evakuációs terv modellje","Matematikai modellezés; foldrajzi inquiry","Földrajz; matematika","7-10","kritikai gondolkodás; kreativitás; kollaboráció","Csoportok alaprajz és népsűrűségi adatok alapján evakuációs útvonalat terveznek, majd torlódási vagy akadály-kártyával tesztelik és javítják.","Korlátozott adatot és váratlan eseményt ad; segít a modell egyszerűsítésében és korlátainak kimondásában.","Mely útvonalat optimalizálják: leggyorsabb, legbiztonságosabb vagy legkevésbé zsúfolt.","Útvonalmodell, feltételezéslista, stresszteszt utáni revízió.","4 szint: modellfeltételezés, térbeli gondolkodás, tesztelés, javítás.","Iskolai alaprajz helyett fiktív épület papíron.","B","2026-05-21 forráscsomag: EEF matematika; collaborative problem solving; Geo-Inquiry","Alaprajzot, eseménykártyákat és modellezési rubrikát készít.","Biztonsági téma miatt nem kelthet pánikot; fiktív kontextus és tanári keretezés kell."
"Állítás-bizonyíték-indoklás klímaadatokkal","CER; adatkritika","Földrajz; fizika","8-11","kritikai gondolkodás; kommunikáció","A tanulók három grafikonból választanak bizonyítékot egy klímaállításhoz, majd egy félrevezető grafikon alapján javítják az indoklást.","Grafikonolvasási scaffoldot ad; rákérdez tengelyre, időtávra, skálára és alternatív magyarázatra.","Melyik grafikont tekintik elég erős bizonyítéknak és melyiket zárják ki.","CER-lap, grafikonannotáció, javított állítás.","4 szint: grafikonértelmezés, bizonyítékválasztás, indoklás, félrevezetés felismerése.","Nyomtatott grafikoncsomag, színes jelöléssel.","B","2026-05-21 forráscsomag: Sampson-Gleim ADI; OECD PISA creative thinking; EEF feedback","Grafikoncsomagot, CER-sablont és félrevezető adatkritikai kérdéseket készít.","A téma polarizálhat; adatolvasási célra kell fókuszálni."
"Hulladékcsökkentés Feel-Imagine-Do-Share ciklusban","Design for Change","Integrált természettudomány; állampolgári nevelés","5-9","kreativitás; állampolgárság; felelősségvállalás; kollaboráció","A tanulók megfigyelnek egy iskolai hulladékproblémát, ötleteket generálnak, kis beavatkozást hajtanak végre, majd mérhető eredményt és tanulságot osztanak meg.","A problémát helyben tartja és kis léptékre szabja; a méréshez egyszerű előtte-utána bizonyítékot kér.","Mely mikroproblémát választják és milyen beavatkozást próbálnak ki.","Megfigyelési jegyzet, ötletlista, beavatkozási fotó vagy adat, tanulságmegosztás.","4 szint: problémapontosság, ötletdiverzitás, cselekvés, reflektált hatás.","Egy osztálytermi szemetes vagy papírhasználat megfigyelése egy héten át.","C","2026-05-12 forráscsomag: Design for Change; Cooper Hewitt; OECD CERI","FIDS-sablont, mérési ötleteket és matrica-bizonyítékkritériumokat ad.","Könnyen plakátkampánnyá laposodik; mérhető mikroakció kell."
"Tudományos poszter kritikakörrel","Studio Thinking; critique-revision","Biológia; fizika; kémia","7-12","kommunikáció; kreativitás; kritikai gondolkodás; karakter","Tanulók tudományos posztert készítenek egy vizsgálatról, majd strukturált kritikakörben kapnak visszajelzést: mi világos, mi bizonyítatlan, mi félreérthető, mi a következő revízió.","Kritikaszabályt ad; különválasztja ízlés, érthetőség és bizonyíték kérdését; kötelező egy revíziós döntést kér.","Mely visszajelzést fogadják be és melyiket utasítják el indokoltan.","Első poszter, feedbacklap, revíziós jegyzet, végleges poszter.","4 szint: tudományos pontosság, vizuális érthetőség, feedbackhasználat, revízió.","A3 papír és post-it; digitális eszköz nélkül is fut.","C","2026-05-12 forráscsomag: Project Zero Studio Thinking; EEF feedback","Kritikakör-protokollt, poszterrubrikát és revíziós checklistet ad.","Felületi dizájnértékeléssé válhat; bizonyíték-kritériumokat ki kell emelni."
"Szakertoi mozaik: okosvaros döntés","Jigsaw; collaborative learning","Földrajz; fizika; matematika","8-11","kollaboráció; kommunikáció; kritikai gondolkodás","Szakértői csoportok külön témát tanulnak: energia, közlekedés, víz, költség. Vegyes csoportban közös okosváros-javaslatot alkotnak, ahol minden szakértő tudása szükséges.","Szakértői forráskártyákat és egyéni felelősségi kérdéseket ad; ellenőrzi, hogy a végső döntés minden területet használ.","Mely szakértői információt tekintik döntőnek és hogyan oldják a területek konfliktusát.","Szakértői jegyzet, közös döntési tábla, egyéni mini-kvíz, csoportjavaslat.","4 szint: szakértői pontosság, tanítás a csoportnak, integráció, közös döntés.","Négy rövid forráskártya és egy döntési lap.","B","2026-05-21 forráscsomag: EEF collaborative learning; collaborative problem solving meta-analysis","Forráskártyákat, szereplapot és egyéni felelősségi ellenőrzést készít.","Ha a szakértői anyag túl hosszú, szétesik; rövid, kiegyensúlyozott kártyák kellenek."
"Forraskorroboracio propaganda-plakatokkal","Historical inquiry","Történelem","8-12","kritikai gondolkodás; kommunikáció; állampolgárság","Tanulók három eltérő forrást hasonlítanak össze ugyanarról az eseményről: plakát, újságrészlet, visszaemlékezés. Cél: állítások korroborálása és forráscél azonosítása.","Forrásolvasási kérdéseket ad: ki, mikor, kinek, miért; tiltja az egyforrásos következtetést.","Mely állítást fogadják el bizonyítottnak és melyiket tartják bizonytalannak.","Forrásmátrix, bizonyítottsági jelölések, rövid történészi állítás.","4 szint: forráskontekstus, összevetés, bizonytalanság, érvelés.","Három rövid forrásrészlet nyomtatva.","B","2026-05-21 forráscsomag: OECD PISA creative thinking; EEF metacognition; structured controversy keret","Forrásmátrixot, kérdéssort és bizonyítottsági rubrikát készít.","Forrásválasztás politikailag érzékeny lehet; kiegyensúlyozott történeti csomag kell."
"AI-hallucinacio allitasvizsgalat","CER; médiakritika","Magyar; digitális kultura; történelem","8-12","kritikai gondolkodás; kommunikáció; állampolgárság; felelősségvállalás","Tanulók egy AI által generált rövid magyarázat állításait bontják, forrásokkal ellenőrzik, majd javított, forráshivatkozott változatot készítenek.","Megadja az ellenőrizhető állítás fogalmát; forrásminőségi kritériumot ad; a javítást nem stilisztikára, hanem bizonyítékra értékeli.","Mely állítást tartják ellenőrizhetőnek, cáfoltnak vagy bizonytalannak.","Állításlista, forrásminőség-jelölés, javított bekezdés, reflexió az AI szerepéről.","4 szint: állításbontás, forráskritika, bizonyítékhasználat, felelős javítás.","Offline: tanár által előre adott hibás szöveg és forráscsomag.","B","2026-05-21 forráscsomag: OECD Learning Compass; EEF metacognition; CER/ADI","Hibás szövegvariánsokat, forráskritikai lapot és javítási rubrikát készít.","AI-használati szabályok intézményenként eltérnek; offline verzió szükséges."
"Strukturált vita: kotelezo olvasmany újratervezése","Structured academic controversy","Magyar","7-10","kommunikáció; kritikai gondolkodás; állampolgárság","Párok ellentétes álláspontból érvelnek egy olvasmány megtartása vagy cseréje mellett, majd szerepcsere után közös javaslatot írnak kritériumokkal.","Kritériumkártyákat ad: nyelvi érték, diákrelevancia, történeti jelentőség, hozzáférhetőség; biztosítja a szerepcserét.","Mely kritériumot tekintik legerősebbnek és hogyan építenek közös álláspontot.","Érvtábla, szerepcsere jegyzet, közös javaslat, reflektált kompromisszum.","4 szint: szövegbizonyíték, ellenérv megértése, kritériumhasználat, közös álláspont.","Rövid idézetkártyák teljes művek helyett.","C","2026-05-21 forráscsomag: structured controversy; OECD Learning Compass","Vitakártyákat, kritériummátrixot és moderációs mondatokat készít.","Értékvitává válhat személyes támadással; szabályozott vitaforma kell."
